loan_id,customer_id,application_ts,decision_ts,product_type,channel,requested_amount,currency,term_months,declared_monthly_income,apr,credit_score,risk_band,decision_status
L000001,C00023,2024-12-07T00:00:00,2024-12-09T00:00:00,MICROLOAN,APP,3131868,COP,24,4505836,0.264,681,D,REJECTED
L000002,C00385,2023-12-09T00:00:00,2023-12-11T00:00:00,PERSONAL_LOAN,WEB,4525084,COP,36,5484439,0.232,713,E,PENDING
L000003,C00183,2024-08-16T00:00:00,2024-08-27T00:00:00,PERSONAL_LOAN,WEB,2877960,COP,36,5536563,0.554,666,A,REJECTED
L000004,C00493,2025-01-07T00:00:00,2025-01-14T00:00:00,MICROLOAN,APP,78107,COP,9,3355282,0.21,555,B,APPROVED
L000005,C00113,2024-09-13T00:00:00,2024-09-16T00:00:00,BNPL,WEB,3105049,COP,12,3446304,0.279,673,D,APPROVED
L000006,C00257,2024-02-20T00:00:00,2024-02-28T00:00:00,PERSONAL_LOAN,APP,1507640,COP,24,3491308,0.345,495,C,APPROVED
L000007,C00459,2023-01-25T00:00:00,2023-02-07T00:00:00,BNPL,APP,1984850,COP,24,3259106,0.247,661,B,REJECTED
L000008,C00518,2024-05-11T00:00:00,2024-05-22T00:00:00,MICROLOAN,APP,2111293,COP,36,4025079,0.291,605,A,APPROVED
L000009,C00511,2023-12-30T00:00:00,2024-01-11T00:00:00,MICROLOAN,APP,2506387,COP,6,6707413,0.324,674,E,APPROVED
L000010,C00200,2024-03-12T00:00:00,2024-03-15T00:00:00,MICROLOAN,WEB,1751150,COP,18,3636424,0.233,648,C,REJECTED
L000011,C00233,2023-09-27T00:00:00,2023-10-10T00:00:00,BNPL,PARTNER,4165777,COP,18,2930078,0.368,729,B,APPROVED
L000012,C00165,2023-05-06T00:00:00,2023-05-14T00:00:00,PERSONAL_LOAN,PARTNER,1699419,COP,12,2296541,0.4,772,E,REJECTED
L000013,C00182,2023-10-09T00:00:00,2023-10-10T00:00:00,MICROLOAN,WEB,997777,COP,3,3024663,0.271,628,A,PENDING
L000014,C00301,2024-05-03T00:00:00,2024-05-11T00:00:00,MICROLOAN,PARTNER,792879,COP,24,586042,0.497,672,A,PENDING
L000015,C00444,2024-11-04T00:00:00,2024-11-17T00:00:00,BNPL,APP,3024938,COP,18,5616233,0.341,745,B,PENDING
L000016,C00494,2024-10-05T00:00:00,2024-10-12T00:00:00,PERSONAL_LOAN,PARTNER,3377793,COP,9,1117834,0.534,668,B,PENDING
L000017,C00069,2023-06-22T00:00:00,2023-07-01T00:00:00,MICROLOAN,WEB,597694,COP,36,3555354,0.632,690,B,APPROVED
L000018,C00299,2023-01-12T00:00:00,2023-01-20T00:00:00,BNPL,PARTNER,4044604,COP,9,2536946,0.316,758,C,REJECTED
L000019,C00106,2024-07-14T00:00:00,2024-07-23T00:00:00,MICROLOAN,WEB,3234813,COP,12,5225320,0.315,553,D,REJECTED
L000020,C00311,2023-09-19T00:00:00,2023-09-24T00:00:00,MICROLOAN,PARTNER,1060589,COP,24,3178967,0.593,707,C,REJECTED
L000021,C00208,2024-03-18T00:00:00,2024-03-22T00:00:00,BNPL,APP,1678499,COP,9,3678047,0.617,832,E,PENDING
L000022,C00310,2024-05-11T00:00:00,2024-05-12T00:00:00,BNPL,PARTNER,2878410,COP,36,1544236,0.296,574,C,REJECTED
L000023,C00285,2024-11-17T00:00:00,2024-11-19T00:00:00,MICROLOAN,WEB,1792874,COP,18,3362841,0.25,688,A,PENDING
