transaction_id,customer_id,loan_id,transaction_ts,transaction_type,payment_method,amount,currency,transaction_status
T0000000,C00410,L000844,2024-09-27T00:00:00,FEE,PSE,37071,COP,FAILED
T0000001,C00113,L000842,2023-07-03T00:00:00,DISBURSEMENT,CARD,390169,COP,PENDING
T0000002,C00340,L000426,2025-04-17T00:00:00,FEE,CARD,80169,COP,SETTLED
T0000003,C00478,L001175,2024-06-17T00:00:00,DISBURSEMENT,CARD,137917,COP,SETTLED
T0000004,C00443,L000871,2023-04-14T00:00:00,CHARGEBACK,CARD,222557,COP,PENDING
T0000005,C00379,L000751,2024-02-02T00:00:00,FEE,TRANSFER,175617,COP,FAILED
T0000006,C00229,L000782,2024-09-15T00:00:00,FEE,TRANSFER,62406,COP,PENDING
T0000007,C00296,L000217,2024-01-24T00:00:00,DISBURSEMENT,TRANSFER,313262,COP,PENDING
T0000008,C00085,L000398,2023-05-25T00:00:00,DISBURSEMENT,TRANSFER,335245,COP,FAILED
T0000009,C00249,L000809,2024-02-02T00:00:00,CHARGEBACK,PSE,239681,COP,FAILED
T0000010,C00344,L000625,2023-06-29T00:00:00,FEE,PSE,75541,COP,SETTLED
T0000011,C00099,L000504,2025-06-13T00:00:00,DISBURSEMENT,CARD,246487,COP,FAILED
T0000012,C00161,L000767,2024-04-16T00:00:00,FEE,CASH_NETWORK,144115,COP,PENDING
T0000013,C00183,L001113,2024-12-26T00:00:00,FEE,CASH_NETWORK,89677,COP,FAILED
T0000014,C00379,L000035,2025-03-27T00:00:00,FEE,TRANSFER,245619,COP,PENDING
T0000015,C00017,L000674,2023-07-17T00:00:00,CHARGEBACK,CASH_NETWORK,250119,COP,SETTLED
T0000016,C00487,L000826,2023-08-25T00:00:00,CHARGEBACK,CARD,217628,COP,PENDING
T0000017,C00063,L000588,2024-03-21T00:00:00,FEE,CARD,66223,COP,FAILED
T0000018,C00157,L000436,2025-02-22T00:00:00,CHARGEBACK,CARD,-52792,COP,PENDING
T0000019,C00482,L000951,2023-12-11T00:00:00,DISBURSEMENT,PSE,43188,COP,SETTLED
T0000020,C00224,L000017,2024-06-30T00:00:00,REPAYMENT,CASH_NETWORK,437511,COP,PENDING
T0000021,C00287,L000218,2024-11-29T00:00:00,REPAYMENT,PSE,19925,COP,PENDING
T0000022,C00458,L000077,2024-12-29T00:00:00,FEE,PSE,221677,COP,SETTLED
T0000023,C00326,L000362,2023-07-08T00:00:00,CHARGEBACK,PSE,376942,COP,FAILED
T0000024,C00281,L000034,2023-10-15T00:00:00,DISBURSEMENT,CARD,270214,COP,SETTLED
T0000025,C00226,L000721,2025-03-21T00:00:00,REPAYMENT,TRANSFER,166239,COP,PENDING
T0000026,C00488,L001191,2025-03-22T00:00:00,CHARGEBACK,CASH_NETWORK,208218,COP,PENDING
T0000027,C00090,L000320,2023-09-04T00:00:00,FEE,PSE,134171,COP,PENDING
T0000028,C00009,L000732,2024-11-04T00:00:00,REPAYMENT,CASH_NETWORK,39372,COP,FAILED
T0000029,C00121,L001040,2024-10-04T00:00:00,FEE,CARD,288998,COP,FAILED
T0000030,C00438,L000139,2025-06-01T00:00:00,REPAYMENT,PSE,178527,COP,SETTLED
T0000031,C00373,L000458,2023-04-25T00:00:00,FEE,CASH_NETWORK,35701,COP,PENDING
T0000032,C00142,L000368,2024-07-27T00:00:00,DISBURSEMENT,CARD,319865,COP,FAILED
T0000033,C00238,L000937,2023-06-21T00:00:00,REPAYMENT,CASH_NETWORK,179140,COP,FAILED
T0000034,C00092,L000992,2023-03-02T00:00:00,DISBURSEMENT,TRANSFER,112046,COP,PENDING
T0000035,C00379,L000881,2023-12-20T00:00:00,REPAYMENT,CARD,197094,COP,FAILED
T0000036,C00053,L000747,2024-08-15T00:00:00,CHARGEBACK,CARD,209988,COP,SETTLED
T0000037,C00376,L001168,2023-03-13T00:00:00,CHARGEBACK,CASH_NETWORK,237064,COP,SETTLED
T0000038,C00054,L000465,2025-01-21T00:00:00,FEE,PSE,109641,COP,SETTLED
T0000039,C00406,L000167,2024-11-30T00:00:00,FEE,TRANSFER,165794,COP,PENDING
T0000040,C00261,L000999,2025-03-27T00:00:00,CHARGEBACK,CARD,178856,COP,SETTLED
T0000041,C00453,L000807,2023-10-31T00:00:00,FEE,TRANSFER,171269,COP,FAILED
T0000042,C00149,L000427,2024-06-17T00:00:00,DISBURSEMENT,PSE,104901,COP,FAILED
T0000043,C00500,L000584,2023-08-04T00:00:00,REPAYMENT,CASH_NETWORK,308041,COP,FAILED
T0000044,C00124,L001061,2024-08-12T00:00:00,REPAYMENT,CASH_NETWORK,265478,COP,PENDING
T0000045,C00507,L001096,2024-03-22T00:00:00,REPAYMENT,CARD,270815,COP,PENDING
T0000046,C00260,L000026,2023-06-23T00:00:00,CHARGEBACK,TRANSFER,78252,COP,FAILED
T0000047,C00365,L000179,2023-09-29T00:00:00,DISBURSEMENT,CARD,2956,COP,PENDING
T0000048,C00446,L000922,2023-05-21T00:00:00,REPAYMENT,CASH_NETWORK,252621,COP,PENDING
T0000049,C00214,L000851,2023-10-16T00:00:00,REPAYMENT,TRANSFER,92237,COP,PENDING
T0000050,C00410,L000178,2023-01-28T00:00:00,DISBURSEMENT,PSE,52357,COP,FAILED
T0000051,C00092,L000689,2024-04-07T00:00:00,REPAYMENT,CASH_NETWORK,176611,COP,SETTLED
T0000052,C00223,L000422,2023-01-29T00:00:00,REPAYMENT,CARD,192201,COP,PENDING
T0000053,C00405,L000492,2024-03-14T00:00:00,REPAYMENT,PSE,149892,COP,SETTLED
T0000054,C00118,L000270,2023-12-10T00:00:00,REPAYMENT,CASH_NETWORK,134112,COP,PENDING
T0000055,C00440,L000028,2024-09-30T00:00:00,FEE,PSE,106584,COP,SETTLED
T0000056,C00273,L001114,2023-12-06T00:00:00,CHARGEBACK,CASH_NETWORK,308274,COP,SETTLED
T0000057,C00179,L000149,2024-10-17T00:00:00,REPAYMENT,CASH_NETWORK,163982,COP,SETTLED
T0000058,C00110,L000352,2023-06-23T00:00:00,DISBURSEMENT,CASH_NETWORK,137671,COP,FAILED
T0000059,C00133,L000473,2024-07-01T00:00:00,CHARGEBACK,TRANSFER,291471,COP,PENDING
T0000060,C00156,L000435,2023-11-27T00:00:00,CHARGEBACK,CARD,349774,COP,PENDING
T0000061,C00131,L000151,2024-06-08T00:00:00,FEE,CARD,114333,COP,FAILED
T0000062,C00162,L001137,2023-12-30T00:00:00,CHARGEBACK,PSE,303663,COP,PENDING
T0000063,C00511,L000599,2025-01-20T00:00:00,REPAYMENT,CASH_NETWORK,245019,COP,FAILED
T0000064,C00461,L000076,2025-05-04T00:00:00,REPAYMENT,TRANSFER,105753,COP,FAILED
T0000065,C00337,L000972,2024-05-21T00:00:00,REPAYMENT,CARD,317007,COP,SETTLED
T0000066,C00067,L000794,2023-07-01T00:00:00,FEE,PSE,297567,COP,PENDING
T0000067,C00124,L000273,2024-06-23T00:00:00,DISBURSEMENT,CASH_NETWORK,156971,COP,PENDING
T0000068,C00424,L000939,2024-08-20T00:00:00,REPAYMENT,CARD,61389,COP,SETTLED
T0000069,C00343,L000979,2023-05-12T00:00:00,FEE,CASH_NETWORK,139173,COP,FAILED
T0000070,C00135,L001151,2023-01-22T00:00:00,DISBURSEMENT,CASH_NETWORK,222559,COP,FAILED
T0000071,C00413,L000062,2024-01-11T00:00:00,DISBURSEMENT,CASH_NETWORK,209319,COP,PENDING
T0000072,C00507,L001155,2023-06-01T00:00:00,DISBURSEMENT,CARD,150947,COP,PENDING
T0000073,C00509,L000381,2024-10-11T00:00:00,CHARGEBACK,TRANSFER,106976,COP,PENDING
T0000074,C00372,L000742,2024-07-25T00:00:00,CHARGEBACK,CASH_NETWORK,97041,COP,SETTLED
T0000075,C00432,L000908,2025-03-11T00:00:00,DISBURSEMENT,PSE,307842,COP,PENDING
T0000076,C00092,L000207,2024-03-04T00:00:00,DISBURSEMENT,CARD,217465,COP,FAILED
T0000077,C00413,L000299,2024-02-02T00:00:00,CHARGEBACK,CASH_NETWORK,167386,COP,SETTLED
T0000078,C00005,L000141,2024-01-04T00:00:00,REPAYMENT,PSE,192363,COP,PENDING
T0000079,C00283,L000194,2024-11-29T00:00:00,DISBURSEMENT,TRANSFER,34194,COP,SETTLED
T0000080,C00489,L000554,2023-12-09T00:00:00,DISBURSEMENT,TRANSFER,305770,COP,PENDING
T0000081,C00388,L000079,2023-09-24T00:00:00,CHARGEBACK,TRANSFER,208388,COP,FAILED
T0000082,C00422,L000426,2025-01-15T00:00:00,CHARGEBACK,CASH_NETWORK,235211,COP,SETTLED
T0000083,C00325,L000707,2023-11-24T00:00:00,REPAYMENT,CASH_NETWORK,144074,COP,FAILED
T0000084,C00318,L000786,2023-01-13T00:00:00,DISBURSEMENT,PSE,85512,COP,SETTLED
T0000085,C00156,L001087,2025-02-20T00:00:00,DISBURSEMENT,CARD,299992,COP,PENDING
T0000086,C00319,L000031,2023-11-04T00:00:00,DISBURSEMENT,CASH_NETWORK,116246,COP,SETTLED
